datetime,price
Thu Feb  8 08:52:43 2018,28263.22
Thu Feb  8 08:58:40 2018,28263.22
Thu Feb  8 09:02:41 2018,28263.22
Thu Feb  8 09:08:43 2018,28018.85
Thu Feb  8 09:12:43 2018,28018.85
Thu Feb  8 09:18:40 2018,28018.85
Thu Feb  8 09:22:40 2018,28018.85
Thu Feb  8 09:28:43 2018,28018.85
Thu Feb  8 09:32:43 2018,28018.85
Thu Feb  8 09:38:41 2018,28018.85
Thu Feb  8 09:42:40 2018,28018.85
Thu Feb  8 09:48:43 2018,28656.96
Thu Feb  8 09:52:42 2018,28656.96
Thu Feb  8 09:58:40 2018,28656.96
Thu Feb  8 10:02:41 2018,28854.37
Thu Feb  8 10:08:43 2018,28854.37
Thu Feb  8 10:12:43 2018,28888.19
Thu Feb  8 10:18:40 2018,28888.19
Thu Feb  8 10:22:41 2018,28888.19
Thu Feb  8 10:28:42 2018,28888.19
Thu Feb  8 10:32:43 2018,28888.19
Thu Feb  8 10:38:40 2018,28924.95
Thu Feb  8 10:42:40 2018,28929.35
Thu Feb  8 10:48:42 2018,29128.29
Thu Feb  8 10:52:42 2018,29295.34
Thu Feb  8 10:58:39 2018,29395.84
Thu Feb  8 11:02:40 2018,29388.76
Thu Feb  8 11:06:42 2018,29342.16
Thu Feb  8 11:08:50 2018,29342.16
Thu Feb  8 11:13:06 2018,29342.16
Thu Feb  8 11:17:17 2018,29342.16
Thu Feb  8 11:23:13 2018,29342.16
Thu Feb  8 11:27:12 2018,29034.71
Thu Feb  8 11:33:15 2018,28884.3
Thu Feb  8 11:37:14 2018,29027.39
Thu Feb  8 11:43:12 2018,29066.45
Thu Feb  8 11:47:13 2018,29133.17
Thu Feb  8 11:53:14 2018,29193.36
Thu Feb  8 11:57:14 2018,29320.5
Thu Feb  8 12:03:12 2018,29151.72
Thu Feb  8 12:07:12 2018,29131.0
Thu Feb  8 12:13:15 2018,29350.42
Thu Feb  8 12:17:14 2018,29511.41
Thu Feb  8 12:23:12 2018,29646.16
Thu Feb  8 12:27:13 2018,29725.39
Thu Feb  8 12:33:15 2018,29763.48
Thu Feb  8 12:37:16 2018,29824.34
Thu Feb  8 12:43:13 2018,29743.68
Thu Feb  8 12:47:12 2018,29745.71
Thu Feb  8 12:53:14 2018,29752.57
Thu Feb  8 12:57:14 2018,29553.85
Thu Feb  8 13:03:12 2018,29582.28
Thu Feb  8 13:07:12 2018,29663.03
Thu Feb  8 13:13:15 2018,29709.65
Thu Feb  8 13:17:14 2018,29563.63
Thu Feb  8 13:23:12 2018,29392.62
Thu Feb  8 13:27:12 2018,29280.52
Thu Feb  8 13:33:14 2018,29245.34
Thu Feb  8 13:37:15 2018,29270.56
Thu Feb  8 13:43:12 2018,29223.29
Thu Feb  8 13:47:12 2018,29249.97
Thu Feb  8 13:53:14 2018,29154.32
Thu Feb  8 13:57:15 2018,29069.11
Thu Feb  8 14:03:12 2018,28926.51
Thu Feb  8 14:07:12 2018,28854.73
Thu Feb  8 14:13:15 2018,28966.01
Thu Feb  8 14:17:14 2018,29023.6
Thu Feb  8 14:23:12 2018,29133.55
Thu Feb  8 14:27:12 2018,29046.3
Thu Feb  8 14:33:15 2018,28864.74
Thu Feb  8 14:37:14 2018,28872.45
Thu Feb  8 14:43:13 2018,28906.46
Thu Feb  8 14:47:12 2018,28930.93
Thu Feb  8 14:53:14 2018,28994.83
Thu Feb  8 14:57:15 2018,29209.78
Thu Feb  8 15:03:12 2018,29131.13
Thu Feb  8 15:07:13 2018,29271.3
Thu Feb  8 15:13:15 2018,29534.99
Thu Feb  8 15:17:15 2018,29455.71
Thu Feb  8 15:23:13 2018,29415.82
Thu Feb  8 15:27:13 2018,29449.93
Thu Feb  8 15:33:16 2018,29517.98
Thu Feb  8 15:37:16 2018,29487.54
Thu Feb  8 15:43:13 2018,29617.29
Thu Feb  8 15:47:13 2018,29655.26
Thu Feb  8 15:53:15 2018,29673.48
Thu Feb  8 15:57:15 2018,29843.17
Thu Feb  8 16:03:13 2018,30103.1
Thu Feb  8 16:07:13 2018,30123.37
Thu Feb  8 16:13:15 2018,29966.71
Thu Feb  8 16:17:15 2018,30123.59
Thu Feb  8 16:23:13 2018,30116.47
Thu Feb  8 16:27:13 2018,30218.31
Thu Feb  8 16:33:16 2018,30226.92
Thu Feb  8 16:37:16 2018,30206.31
Thu Feb  8 16:43:14 2018,30241.48
Thu Feb  8 16:47:13 2018,30210.39
Thu Feb  8 16:53:15 2018,30124.81
Thu Feb  8 16:57:15 2018,30034.07
Thu Feb  8 17:03:13 2018,30148.37
Thu Feb  8 17:07:13 2018,30181.34
Thu Feb  8 17:13:16 2018,30275.01
Thu Feb  8 17:17:15 2018,30236.79
Thu Feb  8 17:17:15 2018,30236.79
Thu Feb  8 17:23:26 2018,30024.41
Thu Feb  8 17:27:26 2018,30061.25
Thu Feb  8 17:33:22 2018,30087.75
Thu Feb  8 17:37:22 2018,30189.68
Thu Feb  8 17:43:22 2018,30502.4
Thu Feb  8 17:45:20 2018,30510.96
