datetime,price
Thu Feb  8 10:32:33 2018,23381.67
Thu Feb  8 10:38:31 2018,23419.69
Thu Feb  8 10:42:31 2018,23484.73
Thu Feb  8 10:48:33 2018,23647.96
Thu Feb  8 10:52:33 2018,23666.98
Thu Feb  8 10:58:30 2018,23775.94
Thu Feb  8 11:02:31 2018,23689.04
Thu Feb  8 11:08:38 2018,23704.16
Thu Feb  8 11:08:38 2018,23704.16
Thu Feb  8 11:12:58 2018,23704.16
Thu Feb  8 11:17:07 2018,23704.16
Thu Feb  8 11:23:03 2018,23704.16
Thu Feb  8 11:27:03 2018,23704.16
Thu Feb  8 11:33:05 2018,23355.42
Thu Feb  8 11:37:05 2018,23536.05
Thu Feb  8 11:43:04 2018,23507.81
Thu Feb  8 11:47:04 2018,23596.13
Thu Feb  8 11:53:06 2018,23567.56
Thu Feb  8 11:57:06 2018,23515.81
Thu Feb  8 12:03:03 2018,23478.59
Thu Feb  8 12:07:03 2018,23490.49
Thu Feb  8 12:13:06 2018,23708.04
Thu Feb  8 12:17:05 2018,23814.71
Thu Feb  8 12:23:03 2018,23937.19
Thu Feb  8 12:27:04 2018,23946.26
Thu Feb  8 12:33:06 2018,24002.4
Thu Feb  8 12:37:07 2018,24039.25
Thu Feb  8 12:43:04 2018,23998.82
Thu Feb  8 12:47:03 2018,23986.08
Thu Feb  8 12:53:05 2018,23958.86
Thu Feb  8 12:57:05 2018,23843.06
Thu Feb  8 13:03:03 2018,23934.13
Thu Feb  8 13:07:03 2018,23984.92
Thu Feb  8 13:13:06 2018,24020.59
Thu Feb  8 13:17:05 2018,23971.54
Thu Feb  8 13:23:03 2018,23758.46
Thu Feb  8 13:27:03 2018,23629.87
Thu Feb  8 13:33:05 2018,23720.23
Thu Feb  8 13:37:06 2018,23753.81
Thu Feb  8 13:43:03 2018,23685.81
Thu Feb  8 13:47:03 2018,23653.98
Thu Feb  8 13:53:06 2018,23509.57
Thu Feb  8 13:57:06 2018,23530.89
Thu Feb  8 14:03:03 2018,23355.17
Thu Feb  8 14:07:03 2018,23259.82
Thu Feb  8 14:13:06 2018,23417.21
Thu Feb  8 14:17:06 2018,23481.95
Thu Feb  8 14:23:03 2018,23597.25
Thu Feb  8 14:27:03 2018,23458.74
Thu Feb  8 14:33:05 2018,23237.28
Thu Feb  8 14:37:05 2018,23254.99
Thu Feb  8 14:43:04 2018,23287.65
Thu Feb  8 14:47:03 2018,23358.32
Thu Feb  8 14:53:05 2018,23538.49
Thu Feb  8 14:57:06 2018,23666.9
Thu Feb  8 15:03:03 2018,23548.52
Thu Feb  8 15:07:04 2018,23696.63
Thu Feb  8 15:13:07 2018,23874.02
Thu Feb  8 15:17:06 2018,23810.06
Thu Feb  8 15:23:04 2018,23740.43
Thu Feb  8 15:27:04 2018,23735.25
Thu Feb  8 15:33:06 2018,23803.43
